,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10,2014-01-21,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"Select Portfolio Servicing, Inc",FL,33712,,,Web,2014-01-21,Closed with explanation,Yes,Yes,677312
11,2014-04-03,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,,,First National Bank of Omaha,MO,63122,,,Web,2014-04-08,Closed with explanation,Yes,Yes,791310
12,2015-03-08,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,NJ,08302,,,Web,2015-03-13,Closed with explanation,Yes,Yes,1272398
13,2015-07-27,Mortgage,VA mortgage,Settlement process and costs,,"This is a new complaint. In the after math of successfully completing a mortgage modification from bank of america stemming from the XXXX 2014 settlement with the Department of Justice, boa voluntarily withdrew the suit filed against me. 
My mortgage statements show or state that I owe a total of {$370.00} in litigation and or litigation management fees. I sent my attorney the mortgage statements that showed this information. My attorney has contacted the law firm, listed on the former suit, a few times asking for proof that these fees can be charged to me and as of this writing no response has been given. 
All the information in the transaction activity of my mortgage statement is concerning to me. I see and understand the transactions concerning the modification but I do n't understand the following fees even though they show that they are paid ( I 'm guessing from the modification terms ) - they are : unapplied funds reversal XXXX ( which I assume went to pay for these successive itemized charges ) Attorney/Trustee fee XXXX '' '' XXXX '' '' XXXX '' '' XXXX separate entries for property inspections at {$15.00} each = XXXXTitle Fee XXXX '' '' XXXXCourt Filing Fee XXXXMailing Fee XXXXRecording Fee XXXXLitigation Management Fee XXXX '' '' XXXX '' '' XXXX '' '' XXXX '' '' XXXXProcess Server XXXXWaive/Adj LateChg XXXX '' '' XXXXUnapplied Funds Posted XXXXUnapplied Funds Reversal -XXXXPayment Posted XXXXI don '' t understand how my account can be charged for any monies/charges stemming from the suit boa filed. boa voluntarily withdrew the suit therefore the court did not state which party was liable for legal fees and for which fees or the total amount the party would be responsible for paying. My attorney and I can not find any wording in the modification that states these fees can be charged and or acceptable fees I have to pay. 
If the XXXX unapplied funds reversal went to pay for above stated paid fees from monies forgiven in the modification then I believe that money should either go toward the mortgage principle amount or returned to the settlement pool from which it came from. 
bank of america 's legal fees should not be paid by me or the mortgage modification forgiveness monies. If they believe they should be reimbursed for any legal fees they should have not withdrawn their suit or file a suit to decide who is responsible for those fees. 
This last bit is more for preemptive measures versus an additional complaint. I am reading many complaints from successful mortgage modification homeowners that two to six months into the permanent mort. mod that boa is claiming missing documents from these homeowners and voiding the mot. mods. I feel this is very worthy of applicable agencies investigation ( s ). I will certainly file various complaints if this does occur with my permanent modification. 
",Company chooses not to provide a public response,Bank of America,FL,325XX,,Consent provided,Web,2015-07-27,Closed with monetary relief,Yes,Yes,1489180
14,2015-06-09,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,VA,24073,Older American,,Referral,2015-06-11,Closed with explanation,Yes,Yes,1412402
15,2014-04-06,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CO,80226,,,Web,2014-04-06,Closed with explanation,Yes,Yes,795636
16,2015-08-13,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,Transworld Systems Inc.,FL,34711,,Consent not provided,Web,2015-08-13,Closed with explanation,Yes,Yes,1518350
17,2012-08-21,Credit card,,Credit line increase/decrease,,,,JPMorgan Chase & Co.,CT,06266,,,Referral,2012-08-24,Closed with explanation,Yes,Yes,139322
18,2012-04-26,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,FL,33484,,,Web,2012-04-30,Closed without relief,Yes,Yes,65769
19,2015-09-01,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,MI,48197,,Consent not provided,Web,2015-09-01,Closed with explanation,Yes,Yes,1546595
20,2016-06-22,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Purchased home approximately XXXX XXXX, XXXX. Ditech was mortgage company on this purchase. 

On or around XXXX XXXX XXXX I refinanced the home with Ditech again as the mortgage company. Within 1 week of the refinance Ditech dispersed the county property escrow taxes for approximately {$4900.00}. 

Now again in XXXX XXXX Ditech has disbursed from my new loan another county tax payment of {$4900.00}. I have called Ditech nearly 6 times in the past 2 months to be certain my escrow accounts are being handled correctly. To date they are not responding to where my escrow money is from the previous loan. I am basically out {$4900.00} due to their error.",Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,OH,441XX,,Consent provided,Web,2016-06-22,Closed with explanation,Yes,Yes,1979840
21,2016-05-24,Credit reporting,,Incorrect information on credit report,Information is not mine,"Describe what happened so we can understand the issue ... 

Equifax has a fraud alert on my credit report and there is no way to remove it! 
They purposely rig their website to frustrate you so you will give up and not challenge the negative or bad things about you. 
I need the fraud alert removed at once or face law suit and FCRA violations in XXXX County, TX. 

Alert ( s ) File Blocked For Promotional Purposes Fraud Alert File Blocked For Promotional Purposes File Blocked for Promotional Purposes Expiration Date : XXXX/XXXX/XXXX Date Reported : XXXX/XXXX/XXXX Address : Phone : Phone : Phone : Comments :",,Equifax,LA,705XX,,Consent provided,Web,2016-05-24,Closed with explanation,Yes,Yes,1938371
22,2016-08-30,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Equifax,OR,97756,,,Web,2016-08-30,Closed with non-monetary relief,Yes,Yes,2088458
23,2016-06-14,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,"Northstar Location Services, LLC",FL,32164,Older American,,Postal mail,2016-06-16,Closed,Yes,Yes,1968490
24,2012-04-02,Bank account or service,Checking account,Problems caused by my funds being low,,,,Fifth Third Financial Corporation,OH,45419,Servicemember,,Phone,2012-04-03,Closed with relief,Yes,Yes,43345
25,2013-02-07,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,92083,,,Referral,2013-02-08,Closed with explanation,Yes,Yes,291902
26,2012-11-13,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,94015,,,Referral,2012-11-14,Closed with non-monetary relief,Yes,Yes,189985
27,2013-03-18,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,TD Bank US Holding Company,FL,33458,,,Referral,2013-03-20,Closed with explanation,Yes,Yes,358091
28,2013-08-29,Bank account or service,Checking account,Using a debit or ATM card,,,,TD Bank US Holding Company,NJ,07108,,,Phone,2013-08-29,Closed with monetary relief,Yes,Yes,509215
29,2015-09-15,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,Company believes the complaint is the result of a misunderstanding,"Hunter Warfield, Inc.",AL,35405,,Consent not provided,Web,2015-09-16,Closed with explanation,Yes,Yes,1565501
30,2015-12-11,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Integrity Asset Partners, Ltd.",CA,95827,,Consent not provided,Web,2015-12-16,Closed with explanation,Yes,Yes,1693464
31,2013-12-24,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,CoreLogic,IL,60025,,,Web,2013-12-30,Closed,Yes,Yes,644629
32,2015-05-21,Credit card,,Credit determination,,,Company chooses not to provide a public response,Citibank,OH,43229,,,Fax,2015-05-27,Closed with explanation,Yes,Yes,1386218
33,2014-04-25,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,CA,91950,,,Referral,2014-04-29,Closed with explanation,Yes,Yes,824955
34,2014-09-13,Payday loan,Payday loan,Can't contact lender,Can't contact lender,,,"United Debt Holdings, LLC",WI,53219,,,Web,2014-09-18,Closed,Yes,Yes,1027753
35,2012-09-04,Bank account or service,Checking account,Using a debit or ATM card,,,,PNC Bank N.A.,NJ,07981,,,Web,2012-09-05,Closed with explanation,Yes,Yes,146707
36,2012-08-11,Credit card,,APR or interest rate,,,,Capital One,DC,20020,,,Web,2012-08-14,Closed with explanation,Yes,Yes,134135
37,2015-10-25,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NY,10010,Older American,Consent not provided,Web,2015-10-25,Closed with explanation,Yes,Yes,1623721
38,2014-03-14,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Tormey Bewley Corporation,NM,87025,Servicemember,,Web,2014-04-01,Closed with explanation,Yes,Yes,758820
39,2014-11-03,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,BBVA Compass,TX,77293,,,Referral,2014-11-05,Closed with explanation,Yes,Yes,1097710
40,2015-01-12,Debt collection,Medical,Improper contact or sharing of info,Contacted me after I asked not to,,,"Retrieval-Masters Creditors Bureau, Inc.",IN,46158,,,Web,2015-01-15,Closed,Yes,Yes,1190079
41,2014-05-22,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Experian,PA,18940,,,Web,2014-05-23,Closed with explanation,Yes,Yes,863919
42,2016-07-04,Credit card,,Billing disputes,,"My credit card Discover card, has allowed a fraudulent charge to post and remain on my credit card account. The amount is {$1.00}, XXXX XXXX XXXX I have supplied Discover card with documents and proof numerous times and they still left this charge on my account. I want this fraud charge removed off my account.",,Discover,TX,761XX,,Consent provided,Web,2016-07-04,Closed with explanation,Yes,Yes,1996929
43,2014-02-11,Credit reporting,,Incorrect information on credit report,Account terms,,,"TransUnion Intermediate Holdings, Inc.",TX,75026,,,Web,2014-02-18,Closed with explanation,Yes,Yes,709657
44,2014-07-25,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,"TransUnion Intermediate Holdings, Inc.",CA,94577,,,Web,2014-07-30,Closed with explanation,Yes,Yes,953604
45,2016-01-07,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,"I moved out of apartments called XXXX XXXX in XXXX Wa, we did a walk thru and everything was fine. I found out later that they put false charges on my credit of over XXXX and reported it to a collection agency which they added interest on it for over 7 years. When I did found out about it I took them to court immediately. The judge ruled in my favor and demanded that XXXX return my security deposit. The judge also stated that I should try and have this removed off my credit. XXXX XXXX XXXX has been doing this to low income families since the year 2000 they have lot 's reviews on there website stating that this is what they do. I would like this removed off my credit please. Thank you 
",Company believes it acted appropriately as authorized by contract or law,Columbia Recovery Group LLC,WA,982XX,,Consent provided,Web,2016-01-27,Closed with explanation,Yes,Yes,1732811
46,2016-06-06,Payday loan,Payday loan,Can't contact lender,Can't contact lender,"Speedy Cash made a hard inquiry on my credit report with XXXX. 
I did not authorized anyone employed by XXXX XXXX to make an inquiry and view my credit report. They have violated the Fair Credit Reporting Act Section 1681b ( c ). They are not legally entitled to make the inquiry. This is a serious breach of my privacy rights.",,Speedy Cash Holdings,TN,381XX,,Consent provided,Web,2016-06-08,Closed,Yes,Yes,1956679
47,2014-07-23,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,CA,91748,Older American,,Web,2014-07-23,Closed with explanation,Yes,Yes,949552
48,2012-11-09,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Wells Fargo & Company,NY,11756,,,Web,2012-11-16,Closed with explanation,Yes,Yes,187959
49,2016-03-25,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MS,39502,,Consent not provided,Web,2016-03-25,Closed with explanation,Yes,Yes,1849801
50,2015-06-10,Credit reporting,,Incorrect information on credit report,Information is not mine,"I am a victim of identity theft and someone opened a XXXX Bank checking account using my personal information and stolen identity. The XXXX Bank checking account # : XXXX and the following inquiries removed from my consumer report : XXXX XXXX and XXXX 
",Company chooses not to provide a public response,"Fidelity National Information Services, Inc. (FNIS)",MN,554XX,,Consent provided,Web,2015-06-10,Closed with explanation,Yes,Yes,1415831
51,2013-10-28,Credit card,,Other,,,,Wells Fargo & Company,VA,22150,,,Referral,2013-10-29,Closed with explanation,Yes,Yes,573746
52,2013-11-02,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,FL,32129,,,Web,2013-11-04,Closed with explanation,Yes,Yes,582604
53,2013-08-26,Credit card,,Other,,,,JPMorgan Chase & Co.,IL,60654,,,Web,2013-08-27,Closed with explanation,Yes,Yes,504423
54,2015-05-04,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,MA,01906,,,Referral,2015-05-06,Closed with explanation,Yes,Yes,1358396
55,2015-02-20,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,AZ,85032,,,Web,2015-02-20,Closed with explanation,Yes,Yes,1248826
56,2015-12-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,"1- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for {$1200.00}. Difference of {$19.00} 2- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for {$1200.00}. Difference of {$19.00} 3- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for {$1200.00}. Difference of {$19.00} XXXX XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for XXXX. Difference of {$19.00} 5- XXXX payment according to Ocwen and the paper work Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for {$1200.00}. Difference of {$19.00} 5- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for XXXX Difference of {$19.00} 6- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for {$1200.00}. Difference of {$19.00} 7- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1200.00}. But Ocwen billed me for {$1200.00}. Difference of {$19.00}. 
8- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1100.00}. But Ocwen billed me for {$1200.00}. Difference of {$53.00}. On this date my interest rate is 3.875 % payoff amount per Ocwen is {$170000.00}. Ocwen took over my loan at the amount of {$20000.00} at the same interest rate. Should n't the monthly payment be dropping since 3.875 % of {$170000.00} is less than 3.875 % of {$200000.00}? But Ocwen has been raising my escrow payment it seems to make the difference. 
9- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1100.00}. But Ocwen billed me for {$1200.00}. Difference of {$58.00} 10- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1100.00}. But Ocwen billed me for {$1200.00}. Difference of {$53.00} 11- XXXX payment according to Ocwen and the paperwork Ocwen sent me my total monthly payment for XXXX is {$1100.00}. But Ocwen billed me for {$1200.00}. Difference of {$53.00}. 
This is a difference of {$350.00} That should of been applied to the principal of the loan. 
",,Ocwen,AZ,853XX,,Consent provided,Web,2015-12-29,Closed with explanation,Yes,Yes,1720171
57,2013-09-26,Credit reporting,,Incorrect information on credit report,Personal information,,,"TransUnion Intermediate Holdings, Inc.",TN,37174,,,Web,2013-09-26,Closed with explanation,Yes,Yes,544957
58,2016-01-19,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,FL,33004,,,Fax,2016-01-20,Closed with explanation,Yes,Yes,1747510
59,2015-05-29,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,NVR Inc,MD,21234,,Consent not provided,Web,2015-05-29,Closed with explanation,Yes,Yes,1398194
60,2014-06-17,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,OK,73170,,,Web,2014-06-17,Closed with explanation,Yes,Yes,897892
61,2014-02-27,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,MA,01760,,,Web,2014-02-27,Closed with explanation,Yes,Yes,734748
62,2014-03-14,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Encore Capital Group,NM,87025,Servicemember,,Web,2014-04-01,Closed with explanation,Yes,Yes,758819
63,2015-08-18,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Bank of America refuses to terminate mortgage insurance on the property, even thou the LTV is below 70 %. BofA demanded we pay {$450.00} for another appraisal to be done by XXXX XXXX XXXX XXXX. I think it is unnecessary and violates the spirit and the letter of the Federal Homeowners Protection Act of XXXX as amended in XXXX. The full appraisal of the subject property was performed on XXXX XXXX, XXXX by a fully licensed appraiser, certified to perform appraisals for FHA. The subject property was appraised at {$490000.00}. A copy of the Appraisal Report was submitted to BofA on XXXX XXXX, XXXX. The current Principal Balance on the loan is {$340000.00}. That makes LTV below 70 %! In the letter dated XXXX XXXX, XXXX received from BofA, it estimated the Property Value as of XXXX XXXX, XXXX to be {$470000.00}. The LTV ratio based on BofA 's own Property Value Estimate is below 70.00 %. Furthermore, even if you take the Purchase Price of the Property at the time of purchase in XXXX, of {$430000.00}, the current LTV is still under 80.0 %. On XXXX XXXX, XXXX we send a check for {$450.00} to cover appraisal fee for a second appraisal as Bank demanded. Bank cashed the check immediately and still has not even started process of appraisal. I called back PMI department they said they do n't see payment for appraisal being processed! I filed a complaint with CFSB on XXXX XXXX, XXXX, got a letter from XXXX XXXX, "" customer advocate '' that she is going to resolve the matter by XXXX XXXX, XXXX. Nothing happened as of today. I am leaving messages to her phone number XXXX it does not even ring, goes straight to voice message ) she calls me back XXXX days letter when I am not at the phone and leave me a message. There is no way to get a hold of her. I asked for a fax or email to communicate, with no success. Nothing is being done and PMI is still charged. 
",Company chooses not to provide a public response,Bank of America,CA,900XX,,Consent provided,Web,2015-08-18,Closed with monetary relief,Yes,Yes,1523225
64,2012-11-10,Credit reporting,,Incorrect information on credit report,Account terms,,,Experian,CA,90232,,,Web,2012-11-13,Closed with explanation,Yes,Yes,188396
65,2015-01-22,Consumer Loan,Vehicle lease,Problems when you are unable to pay,,,,"AC Autopay, LLC",TX,75001,Servicemember,,Web,2015-01-22,Closed with explanation,Yes,Yes,1204568
66,2012-06-06,Credit card,,Transaction issue,,,,U.S. Bancorp,AZ,85023,,,Referral,2012-06-13,Closed with explanation,Yes,Yes,95083
67,2014-08-21,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,"CashCall, Inc.",CA,93446,,,Web,2014-08-26,Closed with explanation,Yes,Yes,994627
68,2014-04-01,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"Portfolio Recovery Associates, Inc.",VA,22408,,,Web,2014-04-01,Closed with explanation,Yes,Yes,789361
69,2013-06-26,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,OH,44135,,,Referral,2013-07-05,Closed with explanation,Yes,Yes,442909
70,2014-09-21,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Experian,,,,,Web,2014-09-26,Closed with explanation,Yes,Yes,1038166
71,2013-05-15,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Bank of America,MN,55118,,,Web,2013-05-16,Closed with explanation,Yes,Yes,407590
72,2015-11-30,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,PHH Mortgage,NJ,07945,,Consent not provided,Web,2015-11-30,Closed with explanation,Yes,Yes,1674959
73,2015-07-01,Debt collection,I do not know,Disclosure verification of debt,Not disclosed as an attempt to collect,"Received several calls from this company, but they did not leave a message. I called their number, and asked repeatedly what company they were calling from ; what they were calling me in regards to ; what was the name of their company. Their employees refused to answer my questions, instead they just put me on hold and transferred me to another person. Then they would hang up. I called back again, and finally one of their representatives told me the name of their company was Trans World Systems. They did NOT tell me that this was in reference to a debt. They asked for personal information ( my name, address ) but refused to tell me why. Finally, I told the person that I would be filing a complaint with the FTC if they ever called me again. I asked them to confirm that I had told them not to call me, and the person said yes. Many times during my call, I asked them what this was in reference to, and they refused to answer. The only reason I know that they are debt collectors is from Googling the name of their company. I have not been told what debt this is in reference to, so I can not make any judgment about whether it is an actual debt, or a complete scam. They totally ignored their government requirement to tell me that their phone calls were in reference to a debt. In addition, I believe that they are attempting to mislead consumers with their name. It would be easy to confuse their name ( Trans World Systems ) with the legitimate company XXXX XXXX. 
",,Transworld Systems Inc.,VA,234XX,,Consent provided,Web,2015-07-02,Closed with explanation,Yes,Yes,1447904
74,2014-01-16,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD Bank US Holding Company,NJ,31407,,,Web,2014-01-15,Closed with explanation,Yes,Yes,671513
75,2014-12-23,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,"Zakheim Law Group, P.A.",GA,30115,,,Web,2015-01-02,Closed with explanation,Yes,Yes,1167908
76,2015-07-21,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Quicken Loans,CO,81425,Servicemember,,Postal mail,2015-07-27,Closed with explanation,Yes,Yes,1476638
77,2015-06-19,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,91016,,Consent not provided,Web,2015-06-19,Closed with explanation,Yes,Yes,1430133
78,2015-02-06,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,JPMorgan Chase & Co.,MI,48180,,,Web,2015-02-11,Closed with explanation,Yes,Yes,1229695
79,2013-12-18,Consumer Loan,Installment loan,Managing the loan or lease,,,,Citibank,OH,43147,Servicemember,,Web,2013-12-23,Closed with explanation,Yes,Yes,642685
80,2012-12-07,Credit card,,APR or interest rate,,,,Citibank,FL,34104,,,Web,2012-12-07,Closed with non-monetary relief,Yes,Yes,207284
81,2015-07-31,Credit reporting,,Incorrect information on credit report,Personal information,"My credit report has an address i never lived at. 
",,Equifax,NY,114XX,,Consent provided,Web,2015-08-07,Closed with explanation,Yes,Yes,1496379
